Node,Category,Metric,Value
1,Size,Requests Sent,128
1,Size,Requests Received,49
1,Size,Replies Sent,49
1,Size,Replies Received,128
1,Size,Request Bytes Sent,89452
1,Size,Request Bytes Received,51904
1,Size,Request Data Sent,84076
1,Size,Request Data Received,49846
1,Time,Average RTT (ms),2.56
1,Time,Request Throughput (kB/sec),272.5
1,Time,Request Goodput (kB/sec),256.1
1,Time,Average Reply Delay (us),55.51
2,Size,Requests Sent,82
2,Size,Requests Received,160
2,Size,Replies Sent,160
2,Size,Replies Received,82
2,Size,Request Bytes Sent,53040
2,Size,Request Bytes Received,113816
2,Size,Request Data Sent,49596
2,Size,Request Data Received,107096
2,Time,Average RTT (ms),2.68
2,Time,Request Throughput (kB/sec),241.6
2,Time,Request Goodput (kB/sec),225.9
2,Time,Average Reply Delay (us),55.65
3,Size,Requests Sent,72
3,Size,Requests Received,98
3,Size,Replies Sent,98
3,Size,Replies Received,72
3,Size,Request Bytes Sent,53070
3,Size,Request Bytes Received,62908
3,Size,Request Data Sent,50046
3,Size,Request Data Received,58792
3,Time,Average RTT (ms),2.78
3,Time,Request Throughput (kB/sec),265.2
3,Time,Request Goodput (kB/sec),250.1
3,Time,Average Reply Delay (us),54.86
4,Size,Requests Sent,108
4,Size,Requests Received,86
4,Size,Replies Sent,86
4,Size,Replies Received,108
4,Size,Request Bytes Sent,75232
4,Size,Request Bytes Received,42388
4,Size,Request Data Sent,70696
4,Size,Request Data Received,38776
4,Time,Average RTT (ms),3.04
4,Time,Request Throughput (kB/sec),229.3
4,Time,Request Goodput (kB/sec),215.4
4,Time,Average Reply Delay (us),53.31
